permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,contractorname,housingunits,estprojectcost,totalsqft,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,:@computed_region_4b54_tmc4,:@computed_region_4a3i_ccfj,:@computed_region_kxmf_bzkv,:@computed_region_p8tp_5dkv,:@computed_region_qeuu_piif,:@computed_region_xxr9_iwz2
BP2013-09623,Completed,2013-07-08T00:00:00.000,2013-07-23T00:00:00.000,2014-01-31T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,FIREPLACE,GARAGE,DECK,PORCH,",VANITY HOMES,VANITY HOMES,1,246089.8,1678,248 SADDLELAKE DR NE,SAD,SADDLE RIDGE,51.12736095642616,-113.93417287574859,2,Titled Parcel;Building,248 SADDLELAKE DR NE;248 SADDLELAKE DR NE,"MULTIPOINT (-113.93417287574859 51.12736095642616,-113.93403147676749 51.12735784725675)","{""type"":""MultiPoint"",""coordinates"":[[-113.9341729,51.127361],[-113.9340315,51.1273578]]}","{'type': 'Point', 'coordinates': [-113.93417287574859, 51.12736095642616]}",11,4,2,1,86,5
BP2024-19255,Completed,2024-09-11T00:00:00.000,2024-10-09T00:00:00.000,2025-04-16T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,GARAGE,PORCH,",GENESIS BUILDERS GROUP,GENESIS BUILDERS GROUP,1,239531.01,1319,380 HOMESTEAD GV NE,HSD,HOMESTEAD,51.121259209484535,-113.91649673616925,2,Titled Parcel;Building,380 HOMESTEAD GV NE;380 HOMESTEAD GV NE,"MULTIPOINT (-113.91649673616925 51.121259209484535,-113.91629820384573 51.12127310035102)","{""type"":""MultiPoint"",""coordinates"":[[-113.9164967,51.1212592],[-113.9162982,51.1212731]]}","{'type': 'Point', 'coordinates': [-113.91649673616925, 51.121259209484535]}",11,4,164,1,144,5
BP2025-05639,Pre Backfill Phase,2025-04-01T00:00:00.000,2025-04-16T00:00:00.000,,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,DECK,PORCH,SSuite",GENESIS BUILDERS GROUP,GENESIS BUILDERS GROUP,1,262462.01,1687,126R KEYSTONE CREEK PL NE,KSH,KEYSTONE HILLS,51.18193545257666,-114.02135194116374,2,Building;Building Suite,126 KEYSTONE CREEK PL NE;126R KEYSTONE CREEK PL NE,"MULTIPOINT (-114.02135194116374 51.18193545257666,-114.02126510648507 51.18196294036729)","{""type"":""MultiPoint"",""coordinates"":[[-114.0213519,51.1819355],[-114.0212651,51.1819629]]}","{'type': 'Point', 'coordinates': [-114.02135194116374, 51.18193545257666]}",11,4,243,12,166,3
BP2023-10028,Completed,2023-06-26T00:00:00.000,2023-11-16T00:00:00.000,2024-02-22T00:00:00.000,Commercial / Multi Family Project,Building,1706 - Rhs Rowhouse,Unspecified,Residential,New,New,New,3 unit Rowhouse,TRUMAN HOMES 1995,TRUMAN HOMES 1995,3,576812.7,,847 CARRINGTON BV NW,CAR,CARRINGTON,51.178628440894386,-114.08025209018741,3,Titled Parcel;Titled Parcel;Titled Parcel,847 CARRINGTON BV NW;839 CARRINGTON BV NW;843 CARRINGTON BV NW,"MULTIPOINT (-114.08025209018741 51.178628440894386,-114.08006034485867 51.178628572258994,-114.08015621037228 51.17862850662087)","{""type"":""MultiPoint"",""coordinates"":[[-114.0802521,51.1786284],[-114.0800603,51.1786286],[-114.0801562,51.1786285]]}","{'type': 'Point', 'coordinates': [-114.08025209018741, 51.178628440894386]}",11,2,242,12,159,3
BP2023-11936,Completed,2023-07-25T00:00:00.000,2023-08-03T00:00:00.000,2024-02-27T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,GARAGE,PORCH,SSuite",EXCEL HOMES LIMITED PARTNERSHIP,EXCEL HOMES LIMITED PARTNERSHIP,1,357666.77,2242,85B MALLARD GV SE,RVW,RANGEVIEW,50.87146078384628,-113.92522347404321,3,Titled Parcel;Building;Building Suite,85 MALLARD GV SE;85 MALLARD GV SE;85B MALLARD GV SE,"MULTIPOINT (-113.92522347404321 50.87146078384628,-113.92502021552518 50.87143625459305,-113.9249894347325 50.87140517435714)","{""type"":""MultiPoint"",""coordinates"":[[-113.9252235,50.8714608],[-113.9250202,50.8714363],[-113.9249894,50.8714052]]}","{'type': 'Point', 'coordinates': [-113.92522347404321, 50.87146078384628]}",4,3,222,8,210,12
BP2023-20704,Completed,2023-11-30T00:00:00.000,2024-01-08T00:00:00.000,2024-02-22T00:00:00.000,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,Alteration,Improvement,Existing,Floor 28 Executive Interior alterations,COUGAR CONTRACTORS,COUGAR CONTRACTORS,0,96078,,#2800 300 5 AV SW,DNC,DOWNTOWN COMMERCIAL CORE,51.04868831367562,-114.06862587469398,6,Titled Parcel;Titled Parcel;Titled Parcel;Titled Parcel;Building;Building Suite,316 5 AV SW;308 5 AV SW;312 5 AV SW;300 5 AV SW;300 5 AV SW;#2800 300 5 AV SW,"MULTIPOINT (-114.06862587469398 51.04868831367562,-114.06818828230905 51.048671453339416,-114.06841541305741 51.048678898953725,-114.06800073563237 51.04866906345746,-114.06831051776395 51.04883440169486,-114.06831051776395 51.04883440169486)","{""type"":""MultiPoint"",""coordinates"":[[-114.0686259,51.0486883],[-114.0681883,51.0486715],[-114.0684154,51.0486789],[-114.0680007,51.0486691],[-114.0683105,51.0488344],[-114.0683105,51.0488344]]}","{'type': 'Point', 'coordinates': [-114.06862587469398, 51.04868831367562]}",7,1,262,7,130,7
BP2024-02686,Issued Permit,2024-02-16T00:00:00.000,2024-02-22T00:00:00.000,,Residential Improvement Project,Building,1401 - Basement Development,Two Family,Residential,Alteration,Improvement,Existing,Basement Dev,,,0,25620.8,,8021 MASTERS BV SE,MAH,MAHOGANY,50.89516223164179,-113.91758658022867,2,Titled Parcel;Building,8021 MASTERS BV SE;8021 MASTERS BV SE,"MULTIPOINT (-113.91758658022867 50.89516223164179,-113.91753773856136 50.89507326840532)","{""type"":""MultiPoint"",""coordinates"":[[-113.9175866,50.8951622],[-113.9175377,50.8950733]]}","{'type': 'Point', 'coordinates': [-113.91758658022867, 50.89516223164179]}",4,3,116,8,209,12
BP2024-23770,Cancelled,2024-11-08T00:00:00.000,,2024-12-23T00:00:00.000,Commercial / Multi Family Project,Building,5299 - Medical Misc.,Institutional,Non-Residential,Alteration,Improvement,Existing,,MOEL LIVING,,0,,,112 EDITH PL NW,GLR,GLACIER RIDGE,51.1850048583885,-114.16374024065158,2,Titled Parcel;Building,112 EDITH PL NW;112 EDITH PL NW,"MULTIPOINT (-114.16374024065158 51.1850048583885,-114.16359532209906 51.185035508619805)","{""type"":""MultiPoint"",""coordinates"":[[-114.1637402,51.1850049],[-114.1635953,51.1850355]]}","{'type': 'Point', 'coordinates': [-114.16374024065158, 51.1850048583885]}",3,2,225,10,163,2
BP2025-06771,Pre Backfill Phase,2025-04-16T00:00:00.000,2025-05-08T00:00:00.000,,Single Construction Permit,Building,1407 - Two Family Semi-Detached (1 Unit),Two Family,Residential,New,New,New,"SEMI-D,FIREPLACE,DECK,PORCH,SSuite",ROCKY BEAR HOMES,ROCKY BEAR HOMES,1,245793,2126,2300 6 ST NE,WIN,WINSTON HEIGHTS/MOUNTVIEW,51.07239787139158,-114.04814663559164,2,Titled Parcel;Building,2302 6 ST NE;2300 6 ST NE,"MULTIPOINT (-114.04814663559164 51.07239787139158,-114.0479873366006 51.07233039734181)","{""type"":""MultiPoint"",""coordinates"":[[-114.0481466,51.0723979],[-114.0479873,51.0723304]]}","{'type': 'Point', 'coordinates': [-114.04814663559164, 51.07239787139158]}",10,4,88,7,244,4
BP2024-20102,Cancelled,2024-09-21T00:00:00.000,,2025-08-21T00:00:00.000,Residential Improvement Project,Building,1201 - Private Swimming Pool,Swimming Pool,Residential,New,New,New,Accessory Building,,,0,,,93 EVERHOLLOW AV SW,EVE,EVERGREEN,50.916308736330826,-114.11907759834614,2,Titled Parcel;Building,93 EVERHOLLOW AV SW;93 EVERHOLLOW AV SW,"MULTIPOINT (-114.11907759834614 50.916308736330826,-114.11908427520295 50.916200050187314)","{""type"":""MultiPoint"",""coordinates"":[[-114.1190776,50.9163087],[-114.1190843,50.9162001]]}","{'type': 'Point', 'coordinates': [-114.11907759834614, 50.916308736330826]}",5,1,39,6,252,13
BP2023-06515,Completed,2023-05-08T00:00:00.000,2023-06-29T00:00:00.000,2024-02-22T00:00:00.000,Commercial / Multi Family Project,Building,"5109 - School, Public",Institutional,Non-Residential,Alteration,Improvement,Existing,interior alteration,,CRESTVIEW ELECTRIC,0,73430,,3930 20 ST SW,ALT,ALTADORE,51.01909730073768,-114.10898448427022,3,Titled Parcel;Building;Entryway,3904 20 ST SW;3904 20 ST SW;3930 20 ST SW,"MULTIPOINT (-114.10898448427022 51.01909730073768,-114.10843541957028 51.01927221317763,-114.10843541957028 51.01927221317763)","{""type"":""MultiPoint"",""coordinates"":[[-114.1089845,51.0190973],[-114.1084354,51.0192722],[-114.1084354,51.0192722]]}","{'type': 'Point', 'coordinates': [-114.10898448427022, 51.01909730073768]}",8,1,200,2,303,8
BP2023-13300,Completed,2023-08-11T00:00:00.000,2023-09-14T00:00:00.000,2024-02-22T00:00:00.000,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,Alteration,Improvement,Existing,,LT HOMES,LT HOMES,0,30000,,#214 12100 MACLEOD TR SE,LKB,LAKE BONAVISTA,50.94513173357718,-114.06870553481647,3,Titled Parcel;Building;Entryway,12101 LAKE FRASER DR SE;#200 12100 MACLEOD TR SE;#214 12100 MACLEOD TR SE,"MULTIPOINT (-114.06870553481647 50.94513173357718,-114.0689080776735 50.94431713928548,-114.06892397042175 50.94437350550589)","{""type"":""MultiPoint"",""coordinates"":[[-114.0687055,50.9451317],[-114.0689081,50.9443171],[-114.068924,50.9443735]]}","{'type': 'Point', 'coordinates': [-114.06870553481647, 50.94513173357718]}",6,3,267,13,190,14
BP2019-04091,Completed,2019-04-15T00:00:00.000,2019-04-23T00:00:00.000,2019-08-22T00:00:00.000,Single Construction Permit,Building,1407 - Two Family Semi-Detached (1 Unit),Two Family,Residential,New,New,New,"SEMI-D,DECK,PORCH,",TRICO HOMES,TRICO HOMES,1,196316.8,1745,456 REDSTONE BV NE,RSN,REDSTONE,51.17226304873621,-113.95079232094099,2,Titled Parcel;Building,456 REDSTONE BV NE;456 REDSTONE BV NE,"MULTIPOINT (-113.95079232094099 51.17226304873621,-113.95067562499868 51.17225764183176)","{""type"":""MultiPoint"",""coordinates"":[[-113.9507923,51.172263],[-113.9506756,51.1722576]]}","{'type': 'Point', 'coordinates': [-113.95079232094099, 51.17226304873621]}",11,4,3,1,174,5
BP2009-08224,Completed,2009-07-29T00:00:00.000,2009-08-28T00:00:00.000,2009-12-31T00:00:00.000,Single Construction Permit,Building,1407 - Two Family Semi-Detached (1 Unit),Two Family,Residential,New,New,New,"SEMI-D,FIREPLACE,PORCH,",BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),1,96188.25,1129,152 AUBURN BAY BV SE,AUB,AUBURN BAY,50.88582857908901,-113.95499489721395,1,Titled Parcel,152 AUBURN BAY BV SE,POINT (-113.95499489721395 50.88582857908901),"{""type"":""Point"",""coordinates"":[-113.9549949,50.8858286]}","{'type': 'Point', 'coordinates': [-113.95499489721395, 50.88582857908901]}",4,3,95,8,285,12
BP2017-06721,Completed,2017-06-06T00:00:00.000,2017-06-06T00:00:00.000,2017-06-27T00:00:00.000,Residential Improvement Project,Building,1115 - Hot Tub,Single Family,Residential,Alteration,Improvement,Existing,,,,0,25000,,182 CHAPALINA RI SE,CHA,CHAPARRAL,50.87977880681195,-114.04372336777567,1,Titled Parcel,182 CHAPALINA RI SE,POINT (-114.04372336777567 50.87977880681195),"{""type"":""Point"",""coordinates"":[-114.0437234,50.8797788]}","{'type': 'Point', 'coordinates': [-114.04372336777567, 50.87977880681195]}",6,3,130,13,216,14
BP2022-17757,Completed,2022-10-20T00:00:00.000,2022-11-23T00:00:00.000,2024-04-25T00:00:00.000,Commercial / Multi Family Project,Building,3108 - Liquor Store,Commercial,Non-Residential,Alteration,Improvement,Existing,Exterior addition.,ALTATECH RESTORATION,,0,25700,,3106 4 ST NW,MOP,MOUNT PLEASANT,51.07978901788893,-114.07135153003443,1,Titled Parcel,3106 4 ST NW,POINT (-114.07135153003443 51.07978901788893),"{""type"":""Point"",""coordinates"":[-114.0713515,51.079789]}","{'type': 'Point', 'coordinates': [-114.07135153003443, 51.07978901788893]}",7,2,17,7,71,7
BP2024-02918,Completed,2024-02-21T00:00:00.000,2024-04-25T00:00:00.000,2024-06-27T00:00:00.000,Commercial / Multi Family Project,Building,1606 - Ths Townhouse,Townhouse,Residential,New,New,New,3 Unit Residential Rowhouse - Building 16,GENESIS BUILDERS GROUP,GENESIS BUILDERS GROUP,3,658534.16,,686 ALPINE AV SW,ALP,ALPINE PARK,50.917215302764646,-114.14956109384438,1,Titled Parcel,686 ALPINE AV SW,POINT (-114.14956109384438 50.917215302764646),"{""type"":""Point"",""coordinates"":[-114.1495611,50.9172153]}","{'type': 'Point', 'coordinates': [-114.14956109384438, 50.917215302764646]}",5,1,255,6,24,13
BP2025-06822,Completed,2025-04-16T00:00:00.000,2025-04-23T00:00:00.000,2025-05-14T00:00:00.000,Residential Improvement Project,Building,1101 - Basement Development,Single Family,Residential,Alteration,Improvement,Existing,Basement Dev,,ANALOG ELECTRICAL SERVICES,0,32026,,45 LEGACY WOODS PL SE,LEG,LEGACY,50.85692060824303,-114.0084674792137,2,Titled Parcel;Building,45 LEGACY WOODS PL SE;45 LEGACY WOODS PL SE,"MULTIPOINT (-114.0084674792137 50.85692060824303,-114.00829567815366 50.856930266875935)","{""type"":""MultiPoint"",""coordinates"":[[-114.0084675,50.8569206],[-114.0082957,50.8569303]]}","{'type': 'Point', 'coordinates': [-114.0084674792137, 50.85692060824303]}",6,3,99,13,155,14
BP2025-06869,Completed,2025-04-16T00:00:00.000,2025-05-06T00:00:00.000,2025-06-27T00:00:00.000,Residential Improvement Project,Building,1101 - Basement Development,Single Family,Residential,Alteration,Improvement,Existing,Basement Dev,,,0,24052.96,,#25 75 ERIN CROFT CR SE,ERI,ERIN WOODS,51.02328470785431,-113.97263632271957,3,Titled Parcel;Building;Building Suite,220 ERIN MOUNT CR SE;75 ERIN CROFT CR SE;#25 75 ERIN CROFT CR SE,"MULTIPOINT (-113.97263632271957 51.02328470785431,-113.97263632271957 51.02328470785431,-113.97126649828176 51.0238783239212)","{""type"":""MultiPoint"",""coordinates"":[[-113.9726363,51.0232847],[-113.9726363,51.0232847],[-113.9712665,51.0238783]]}","{'type': 'Point', 'coordinates': [-113.97263632271957, 51.02328470785431]}",12,3,35,11,65,9
BP2024-17855,Completed,2024-08-26T00:00:00.000,2024-09-17T00:00:00.000,2025-03-13T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,DECK,PORCH,SSuite",EXCEL HOMES LIMITED PARTNERSHIP,EXCEL HOMES LIMITED PARTNERSHIP,1,274330.85,1803,587R LUCAS BV NW,LIV,LIVINGSTON,51.19304047609041,-114.07752314773485,3,Titled Parcel;Building;Building Suite,587 LUCAS BV NW;587 LUCAS BV NW;587R LUCAS BV NW,"MULTIPOINT (-114.07752314773485 51.19304047609041,-114.07765264150433 51.19303607526387,-114.07773951868047 51.193015899064164)","{""type"":""MultiPoint"",""coordinates"":[[-114.0775231,51.1930405],[-114.0776526,51.1930361],[-114.0777395,51.1930159]]}","{'type': 'Point', 'coordinates': [-114.07752314773485, 51.19304047609041]}",11,2,246,12,212,3
BP2023-10395,Completed,2023-06-29T00:00:00.000,2023-07-25T00:00:00.000,2024-02-22T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,FIREPLACE,DECK,PORCH,",SE7EN DEZIGN,ANDREAS HOMES,1,365706.48,2200,311 15 ST NW,HIL,HILLHURST,51.05503136568854,-114.09643073246856,2,Titled Parcel;Building,311 15 ST NW;311 15 ST NW,"MULTIPOINT (-114.09643073246856 51.05503136568854,-114.0966096450268 51.05503222480061)","{""type"":""MultiPoint"",""coordinates"":[[-114.0964307,51.0550314],[-114.0966096,51.0550322]]}","{'type': 'Point', 'coordinates': [-114.09643073246856, 51.05503136568854]}",7,2,40,7,183,7
BP2023-08659,Completed,2023-06-06T00:00:00.000,2023-06-20T00:00:00.000,2024-02-22T00:00:00.000,Single Construction Permit,Building,1407 - Two Family Semi-Detached (1 Unit),Two Family,Residential,New,New,New,"SEMI-D,DECK,PORCH,",CEDARGLEN GROUP (THE),CEDARGLEN GROUP (THE),1,175745.64,1574,158 HASKAYNE DR NW,HSN,HASKAYNE,51.109395274352686,-114.27339972466106,1,Titled Parcel,158 HASKAYNE DR NW,POINT (-114.27339972466106 51.109395274352686),"{""type"":""Point"",""coordinates"":[-114.2733997,51.1093953]}","{'type': 'Point', 'coordinates': [-114.27339972466106, 51.109395274352686]}",13,2,253,9,142,1
BP2011-03080,Completed,2011-03-30T00:00:00.000,2011-04-14T00:00:00.000,2011-09-01T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,FIREPLACE,GARAGE,DECK,PORCH,",PROMINENT HOMES,PROMINENT HOMES,1,289891.9,2170,97 ASPENSHIRE DR SW,ASP,ASPEN WOODS,51.04852662270981,-114.21634394728224,1,Titled Parcel,97 ASPENSHIRE DR SW,POINT (-114.21634394728224 51.04852662270981),"{""type"":""Point"",""coordinates"":[-114.2163439,51.0485266]}","{'type': 'Point', 'coordinates': [-114.21634394728224, 51.04852662270981]}",1,1,48,14,109,6
BP2023-05309,Completed,2023-04-20T00:00:00.000,2023-05-10T00:00:00.000,2024-02-22T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,GARAGE,PORCH,SSuite",TRICO HOMES,TRICO HOMES,1,342055.1,2135,226B SETONSTONE LD SE,SET,SETON,50.868211816487204,-113.94274495584051,3,Titled Parcel;Building;Building Suite,226 SETONSTONE LD SE;226 SETONSTONE LD SE;226B SETONSTONE LD SE,"MULTIPOINT (-113.94274495584051 50.868211816487204,-113.94289159828365 50.86815298579767,-113.94290818193103 50.868114453748866)","{""type"":""MultiPoint"",""coordinates"":[[-113.942745,50.8682118],[-113.9428916,50.868153],[-113.9429082,50.8681145]]}","{'type': 'Point', 'coordinates': [-113.94274495584051, 50.868211816487204]}",4,3,229,8,145,12
BP2023-04794,Completed,2023-04-12T00:00:00.000,2023-04-19T00:00:00.000,2024-02-22T00:00:00.000,Single Construction Permit,Building,1407 - Two Family Semi-Detached (1 Unit),Two Family,Residential,New,New,New,"SEMI-D,PORCH,SSuite",BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),1,182407.68,1626,315B UNION AV SE,SET,SETON,50.87016017915038,-113.94703716470211,3,Titled Parcel;Building;Building Suite,315 UNION AV SE;315 UNION AV SE;315B UNION AV SE,"MULTIPOINT (-113.94703716470211 50.87016017915038,-113.94698573690562 50.870095247975044,-113.94698928457275 50.87006133030056)","{""type"":""MultiPoint"",""coordinates"":[[-113.9470372,50.8701602],[-113.9469857,50.8700952],[-113.9469893,50.8700613]]}","{'type': 'Point', 'coordinates': [-113.94703716470211, 50.87016017915038]}",4,3,229,8,145,12
BP2023-20920,Completed,2023-12-04T00:00:00.000,2023-12-18T00:00:00.000,2024-02-22T00:00:00.000,Residential Improvement Project,Building,1101 - Improvements (Single Family),Single Family,Residential,Alteration,Improvement,Existing,Improvements,,,0,2500,,1616 48 AV SW,ALT,ALTADORE,51.01073074058723,-114.0986365281356,2,Titled Parcel;Building,1616 48 AV SW;1616 48 AV SW,"MULTIPOINT (-114.0986365281356 51.01073074058723,-114.09865002102597 51.0108238184548)","{""type"":""MultiPoint"",""coordinates"":[[-114.0986365,51.0107307],[-114.09865,51.0108238]]}","{'type': 'Point', 'coordinates': [-114.0986365281356, 51.01073074058723]}",8,1,200,2,303,8
BP2022-16365,Completed,2022-09-25T00:00:00.000,2022-11-07T00:00:00.000,2024-02-22T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,BSMT-DEV,FIREPLACE,DECK,PORCH,",ROCKRIDGE DESIGN,GRANDSCAPE HOMES,1,552345.94,3258,23 ROSERY DR NW,RMT,ROSEMONT,51.077519989605726,-114.08628100693485,2,Titled Parcel;Building,23 ROSERY DR NW;23 ROSERY DR NW,"MULTIPOINT (-114.08628100693485 51.077519989605726,-114.0861710821205 51.07743679024359)","{""type"":""MultiPoint"",""coordinates"":[[-114.086281,51.07752],[-114.0861711,51.0774368]]}","{'type': 'Point', 'coordinates': [-114.08628100693485, 51.077519989605726]}",7,2,92,4,283,4
BP2023-21286,Completed,2023-12-11T00:00:00.000,2023-12-19T00:00:00.000,2024-09-17T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,GARAGE,DECK,PORCH,SSuite",MATTAMY HOMES CALGARY,MATTAMY (ABERDEEN HEIGHTS),1,357405.92,2224,66B CARRINGFORD CL NW,CAR,CARRINGTON,51.18466187139763,-114.08456043379213,3,Titled Parcel;Building;Building Suite,66 CARRINGFORD CL NW;66 CARRINGFORD CL NW;66B CARRINGFORD CL NW,"MULTIPOINT (-114.08456043379213 51.18466187139763,-114.0844130057093 51.18466232844354,-114.08442460241967 51.18462118403843)","{""type"":""MultiPoint"",""coordinates"":[[-114.0845604,51.1846619],[-114.084413,51.1846623],[-114.0844246,51.1846212]]}","{'type': 'Point', 'coordinates': [-114.08456043379213, 51.18466187139763]}",11,2,242,12,159,3
BP2025-06628,Completed,2025-04-14T00:00:00.000,2025-04-16T00:00:00.000,2025-05-22T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,ELEGANT BUILDERS,,0,48605.76,,64 SETONSTONE GD SE,SET,SETON,50.86837663431949,-113.93976851001648,2,Titled Parcel;Building,64 SETONSTONE GD SE;64 SETONSTONE GD SE,"MULTIPOINT (-113.93976851001648 50.86837663431949,-113.93964364902949 50.86841895770602)","{""type"":""MultiPoint"",""coordinates"":[[-113.9397685,50.8683766],[-113.9396436,50.868419]]}","{'type': 'Point', 'coordinates': [-113.93976851001648, 50.86837663431949]}",4,3,229,8,145,12
BP2025-06805,Issued Permit,2025-04-16T00:00:00.000,2025-07-03T00:00:00.000,,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Improvement,Existing,Secondary Suite,,,1,4000,,415 ALLSTON AV SE,ACA,ACADIA,50.976654690996924,-114.0547972397065,2,Titled Parcel;Building,415 ALLSTON AV SE;415 ALLSTON AV SE,"MULTIPOINT (-114.0547972397065 50.976654690996924,-114.05478169302386 50.97654843838792)","{""type"":""MultiPoint"",""coordinates"":[[-114.0547972,50.9766547],[-114.0547817,50.9765484]]}","{'type': 'Point', 'coordinates': [-114.0547972397065, 50.976654690996924]}",10,3,174,5,151,11
BP2023-12994,Completed,2023-08-08T00:00:00.000,2023-08-22T00:00:00.000,2024-02-22T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,GARAGE,DECK,PORCH,SSuite",EXCEL HOMES LIMITED PARTNERSHIP,EXCEL HOMES LIMITED PARTNERSHIP,1,357598.76,2227,696B CREEKSTONE CI SW,PCK,PINE CREEK,50.86264156877846,-114.06742300171699,3,Titled Parcel;Building;Building Suite,696 CREEKSTONE CI SW;696 CREEKSTONE CI SW;696B CREEKSTONE CI SW,"MULTIPOINT (-114.06742300171699 50.86264156877846,-114.06740453322193 50.862758422684074,-114.06735943887612 50.86278277569996)","{""type"":""MultiPoint"",""coordinates"":[[-114.067423,50.8626416],[-114.0674045,50.8627584],[-114.0673594,50.8627828]]}","{'type': 'Point', 'coordinates': [-114.06742300171699, 50.86264156877846]}",6,3,133,6,208,13
BP2025-06812,Issued Permit,2025-04-16T00:00:00.000,2025-06-12T00:00:00.000,,Residential Improvement Project,Building,9999 - Unspecified,Unspecified,Residential,Alteration,Improvement,Existing,Secondary Suite,NORTHERN LIGHTS DESIGN,,1,,,149 RUNDLESON WY NE,RUN,RUNDLE,51.08022391724489,-113.97384424350169,2,Titled Parcel;Building,149 RUNDLESON WY NE;149 RUNDLESON WY NE,"MULTIPOINT (-113.97384424350169 51.08022391724489,-113.97374189820619 51.08013033871967)","{""type"":""MultiPoint"",""coordinates"":[[-113.9738442,51.0802239],[-113.9737419,51.0801303]]}","{'type': 'Point', 'coordinates': [-113.97384424350169, 51.08022391724489]}",9,4,34,3,64,10
