permitnum,statuscurrent,applieddate,issueddate,completeddate,permittype,permittypemapped,permitclass,permitclassgroup,permitclassmapped,workclass,workclassgroup,workclassmapped,description,applicantname,contractorname,housingunits,estprojectcost,totalsqft,originaladdress,communitycode,communityname,latitude,longitude,locationcount,locationtypes,locationaddresses,locationswkt,locationsgeojson,point,:@computed_region_4b54_tmc4,:@computed_region_4a3i_ccfj,:@computed_region_kxmf_bzkv,:@computed_region_p8tp_5dkv,:@computed_region_qeuu_piif,:@computed_region_xxr9_iwz2
BP2023-08533,Completed,2023-06-05T00:00:00.000,2023-06-12T00:00:00.000,2024-02-22T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,GARAGE,PORCH,SSuite",BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),1,394675.87,2484,24B CALHOUN VW NE,LIV,LIVINGSTON,51.187128939231016,-114.05543366093926,3,Titled Parcel;Building;Building Suite,24 CALHOUN VW NE;24 CALHOUN VW NE;24B CALHOUN VW NE,"MULTIPOINT (-114.05543366093926 51.187128939231016,-114.05528259058403 51.1870091714955,-114.05530981756566 51.186989894099845)","{""type"":""MultiPoint"",""coordinates"":[[-114.0554337,51.1871289],[-114.0552826,51.1870092],[-114.0553098,51.1869899]]}","{'type': 'Point', 'coordinates': [-114.05543366093926, 51.187128939231016]}",11,4,246,12,212,3
BP2023-11757,Completed,2023-07-21T00:00:00.000,2023-08-01T00:00:00.000,2024-02-22T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,GARAGE,DECK,",TRICO HOMES,TRICO HOMES,1,396225.34,2498,39 CREEKSIDE GV SW,PCK,PINE CREEK,50.86094568170921,-114.07675509780975,2,Titled Parcel;Building,39 CREEKSIDE GV SW;39 CREEKSIDE GV SW,"MULTIPOINT (-114.07675509780975 50.86094568170921,-114.07694317917228 50.86094544999378)","{""type"":""MultiPoint"",""coordinates"":[[-114.0767551,50.8609457],[-114.0769432,50.8609454]]}","{'type': 'Point', 'coordinates': [-114.07675509780975, 50.86094568170921]}",6,1,133,6,208,13
BP2024-18973,Completed,2024-09-09T00:00:00.000,2024-09-30T00:00:00.000,2024-11-15T00:00:00.000,Residential Improvement Project,Building,1104 - Deck,Single Family,Residential,Alteration,Improvement,Existing,Deck,NATIONAL FENCE & DECK,NATIONAL FENCE & DECK,0,8719.92,,93 CRESTHAVEN WY SW,CRM,CRESTMONT,51.08362028729271,-114.26567084771978,2,Titled Parcel;Building,93 CRESTHAVEN WY SW;93 CRESTHAVEN WY SW,"MULTIPOINT (-114.26567084771978 51.08362028729271,-114.26571022550266 51.08372735494642)","{""type"":""MultiPoint"",""coordinates"":[[-114.2656708,51.0836203],[-114.2657102,51.0837274]]}","{'type': 'Point', 'coordinates': [-114.26567084771978, 51.08362028729271]}",13,1,31,9,51,1
BP2023-04401,Completed,2023-04-05T00:00:00.000,2023-05-19T00:00:00.000,2024-02-22T00:00:00.000,Commercial / Multi Family Project,Building,4002 - Vacant,General,Non-Residential,Alteration,Improvement,Existing,Interior Alterations (Two 2 Hour Demising Walls),,,0,25000,,1010 42 AV SE,HIF,HIGHFIELD,51.01614324399574,-114.03983024779266,2,Titled Parcel;Building,1010 42 AV SE;1010 42 AV SE,"MULTIPOINT (-114.03983024779266 51.01614324399574,-114.03998270129685 51.016542607742316)","{""type"":""MultiPoint"",""coordinates"":[[-114.0398302,51.0161432],[-114.0399827,51.0165426]]}","{'type': 'Point', 'coordinates': [-114.03983024779266, 51.01614324399574]}",10,3,75,11,44,9
BP2025-02837,Completed,2025-02-19T00:00:00.000,2025-03-04T00:00:00.000,2025-05-14T00:00:00.000,Commercial / Multi Family Project,Building,1506 - Apt Apartment,Apartment,Residential,Alteration,Improvement,Existing,Odyssey Towers O'Reilly Renovation,,,0,5000,,#2133 20 COACHWAY RD SW,COA,COACH HILL,51.06149781207466,-114.18683094646657,3,Titled Parcel;Building;Building Suite,7030 COACH HILL RD SW;20 COACHWAY RD SW;#2133 20 COACHWAY RD SW,"MULTIPOINT (-114.18683094646657 51.06149781207466,-114.18583133049992 51.06103159857233,-114.18583133049992 51.06103159857233)","{""type"":""MultiPoint"",""coordinates"":[[-114.1868309,51.0614978],[-114.1858313,51.0610316],[-114.1858313,51.0610316]]}","{'type': 'Point', 'coordinates': [-114.18683094646657, 51.06149781207466]}",1,1,189,14,8,6
BP2024-21442,Cancelled,2024-10-08T00:00:00.000,,2024-11-01T00:00:00.000,Residential Improvement Project,Building,1116 - Repair After Fire,Single Family,Residential,Repair,Improvement,Existing,Repair,ROCKY CROSS CONSTRUCTION (NORTH),ROCKY CROSS CONSTRUCTION (NORTH),0,,,#9 3029 RUNDLESON RD NE,RUN,RUNDLE,51.080060757336476,-113.979801681535,2,Titled Parcel;Building,3029 RUNDLESON RD NE;#9 3029 RUNDLESON RD NE,"MULTIPOINT (-113.979801681535 51.080060757336476,-113.98000892016569 51.07998896542502)","{""type"":""MultiPoint"",""coordinates"":[[-113.9798017,51.0800608],[-113.9800089,51.079989]]}","{'type': 'Point', 'coordinates': [-113.979801681535, 51.080060757336476]}",9,4,34,3,64,10
BP2024-09880,Completed,2024-05-23T00:00:00.000,2024-06-18T00:00:00.000,2025-01-06T00:00:00.000,Single Construction Permit,Building,1106 - Single Family House,Single Family,Residential,New,New,New,"SFD,PORCH,",MORRISON HOMES (CALGARY),MORRISON HOMES (CALGARY),1,230400.35,1521,222 EDITH RD NW,GLR,GLACIER RIDGE,51.18407242197707,-114.16517779514038,2,Titled Parcel;Building,222 EDITH RD NW;222 EDITH RD NW,"MULTIPOINT (-114.16517779514038 51.18407242197707,-114.16531529693204 51.184064802433184)","{""type"":""MultiPoint"",""coordinates"":[[-114.1651778,51.1840724],[-114.1653153,51.1840648]]}","{'type': 'Point', 'coordinates': [-114.16517779514038, 51.18407242197707]}",3,2,225,10,163,2
BP2024-18823,Cancelled,2024-09-06T00:00:00.000,,2024-11-19T00:00:00.000,Single Construction Permit,Building,1407 - Two Family Semi-Detached (1 Unit),Two Family,Residential,New,New,New,"SEMI-D,BSMT-DEV,DECK,PORCH,",CONTRIVE ENGINEERING AND PROJECT MANAGEMENT SERVICE,ATARI HOMES,0,,1828,4513 22 AV NW,MON,MONTGOMERY,51.07293594255136,-114.1537631611347,2,Titled Parcel;Building,4515 22 AV NW;4513 22 AV NW,"MULTIPOINT (-114.1537631611347 51.07293594255136,-114.15381824506012 51.0728253597504)","{""type"":""MultiPoint"",""coordinates"":[[-114.1537632,51.0729359],[-114.1538182,51.0728254]]}","{'type': 'Point', 'coordinates': [-114.1537631611347, 51.07293594255136]}",13,2,24,7,246,7
BP2024-23359,Cancelled,2024-11-04T00:00:00.000,,2025-01-16T00:00:00.000,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,Alteration,Improvement,Existing,Interior alterations,SUZY ABAYA,,0,,,#140 5701 17 AV SE,FLI,FOREST LAWN INDUSTRIAL,51.03767373624352,-113.9538773167786,3,Titled Parcel;Building;Building Suite,5701 17 AV SE;5701 17 AV SE;#140 5701 17 AV SE,"MULTIPOINT (-113.9538773167786 51.03767373624352,-113.95337192718159 51.03735964078415,-113.95337010211163 51.037359640056)","{""type"":""MultiPoint"",""coordinates"":[[-113.9538773,51.0376737],[-113.9533719,51.0373596],[-113.9533701,51.0373596]]}","{'type': 'Point', 'coordinates': [-113.9538773167786, 51.03767373624352]}",12,3,97,11,205,9
BP2024-10006,Completed,2024-05-24T00:00:00.000,2024-06-09T00:00:00.000,2025-06-19T00:00:00.000,Residential Improvement Project,Building,1301 - Private Detached Garage,Garage,Residential,New,New,New,Garage,JOHN TRINH & ASSOCIATES,HBC CUSTOM HOMES,0,38576,,2204 29 AV SW,RIC,RICHMOND,51.02777837716297,-114.11219839870064,1,Titled Parcel,2204 29 AV SW,POINT (-114.11219839870064 51.02777837716297),"{""type"":""Point"",""coordinates"":[-114.1121984,51.0277784]}","{'type': 'Point', 'coordinates': [-114.11219839870064, 51.02777837716297]}",14,1,181,2,228,8
